,Countries and areas,Year,Indicator,Value
1633,Belgium,2000,Neonatal mortality rate,3
1634,Belize,2000,Neonatal mortality rate,12
1635,Benin,2000,Neonatal mortality rate,39
1636,Bhutan,2000,Neonatal mortality rate,32
1637,Bolivia (Plurinational State of),2000,Neonatal mortality rate,29
1638,Bosnia and Herzegovina,2000,Neonatal mortality rate,7
1639,Botswana,2000,Neonatal mortality rate,8
1640,Brazil,2000,Neonatal mortality rate,19
1641,British Virgin Islands,2000,Neonatal mortality rate,8
1642,Brunei Darussalam,2000,Neonatal mortality rate,5
1643,Bulgaria,2000,Neonatal mortality rate,8
1644,Burkina Faso,2000,Neonatal mortality rate,41
1645,Burundi,2000,Neonatal mortality rate,37
1646,Cabo Verde,2000,Neonatal mortality rate,19
1647,Cambodia,2000,Neonatal mortality rate,35
1648,Cameroon,2000,Neonatal mortality rate,35
1649,Canada,2000,Neonatal mortality rate,4
1650,Central African Republic,2000,Neonatal mortality rate,43
1651,Chad,2000,Neonatal mortality rate,44
1652,Chile,2000,Neonatal mortality rate,6
1653,China,2000,Neonatal mortality rate,21
1654,Colombia,2000,Neonatal mortality rate,14
1655,Comoros,2000,Neonatal mortality rate,40
1656,Congo,2000,Neonatal mortality rate,30
1657,Cook Islands,2000,Neonatal mortality rate,10
1658,Costa Rica,2000,Neonatal mortality rate,8
1659,Cte d'Ivoire,2000,Neonatal mortality rate,46
1660,Croatia,2000,Neonatal mortality rate,6
1661,Cuba,2000,Neonatal mortality rate,4
1662,Cyprus,2000,Neonatal mortality rate,4
1663,Czechia,2000,Neonatal mortality rate,3
1664,Democratic People's Republic of Korea,2000,Neonatal mortality rate,27
1665,Democratic Republic of the Congo,2000,Neonatal mortality rate,39
1666,Denmark,2000,Neonatal mortality rate,3
1667,Djibouti,2000,Neonatal mortality rate,44
1668,Dominica,2000,Neonatal mortality rate,13
1669,Dominican Republic,2000,Neonatal mortality rate,23
1670,Ecuador,2000,Neonatal mortality rate,14
1671,Egypt,2000,Neonatal mortality rate,22
1672,El Salvador,2000,Neonatal mortality rate,15
1673,Equatorial Guinea,2000,Neonatal mortality rate,46
1674,Eritrea,2000,Neonatal mortality rate,27
1675,Estonia,2000,Neonatal mortality rate,5
1676,Eswatini,2000,Neonatal mortality rate,29
1677,Ethiopia,2000,Neonatal mortality rate,48
1678,Fiji,2000,Neonatal mortality rate,10
1679,Finland,2000,Neonatal mortality rate,2
1680,France,2000,Neonatal mortality rate,3
1681,Gabon,2000,Neonatal mortality rate,28
1682,Gambia,2000,Neonatal mortality rate,40
1683,Georgia,2000,Neonatal mortality rate,23
1684,Germany,2000,Neonatal mortality rate,3
1685,Ghana,2000,Neonatal mortality rate,36
1686,Greece,2000,Neonatal mortality rate,4
1687,Grenada,2000,Neonatal mortality rate,8
1688,Guatemala,2000,Neonatal mortality rate,21
1689,Guinea,2000,Neonatal mortality rate,46
1690,Guinea-Bissau,2000,Neonatal mortality rate,55
1691,Guyana,2000,Neonatal mortality rate,27
1692,Haiti,2000,Neonatal mortality rate,30
1693,Holy See,2000,Neonatal mortality rate,0
1694,Honduras,2000,Neonatal mortality rate,18
1695,Hungary,2000,Neonatal mortality rate,6
1696,Iceland,2000,Neonatal mortality rate,2
1697,India,2000,Neonatal mortality rate,45
1698,Indonesia,2000,Neonatal mortality rate,23
1699,Iran (Islamic Republic of),2000,Neonatal mortality rate,19
1700,Iraq,2000,Neonatal mortality rate,24
1701,Ireland,2000,Neonatal mortality rate,4
1702,Israel,2000,Neonatal mortality rate,4
1703,Italy,2000,Neonatal mortality rate,3
1704,Jamaica,2000,Neonatal mortality rate,17
1705,Japan,2000,Neonatal mortality rate,2
1706,Jordan,2000,Neonatal mortality rate,16
1707,Kazakhstan,2000,Neonatal mortality rate,24
1708,Kenya,2000,Neonatal mortality rate,27
1709,Kiribati,2000,Neonatal mortality rate,28
1710,Kuwait,2000,Neonatal mortality rate,7
1711,Kyrgyzstan,2000,Neonatal mortality rate,20
1712,Lao People's Democratic Republic,2000,Neonatal mortality rate,38
1713,Latvia,2000,Neonatal mortality rate,7
1714,Lebanon,2000,Neonatal mortality rate,12
1715,Lesotho,2000,Neonatal mortality rate,36
1716,Liberia,2000,Neonatal mortality rate,48
1717,Libya,2000,Neonatal mortality rate,15
1718,Liechtenstein,2000,Neonatal mortality rate,0
1719,Lithuania,2000,Neonatal mortality rate,5
1720,Luxembourg,2000,Neonatal mortality rate,2
1721,Madagascar,2000,Neonatal mortality rate,31
1722,Malawi,2000,Neonatal mortality rate,39
1723,Malaysia,2000,Neonatal mortality rate,5
1724,Maldives,2000,Neonatal mortality rate,22
1725,Mali,2000,Neonatal mortality rate,51
1726,Malta,2000,Neonatal mortality rate,5
1727,Marshall Islands,2000,Neonatal mortality rate,19
1728,Mauritania,2000,Neonatal mortality rate,39
1729,Mauritius,2000,Neonatal mortality rate,12
1730,Mexico,2000,Neonatal mortality rate,14
1731,Micronesia (Federated States of),2000,Neonatal mortality rate,20
1732,Monaco,2000,Neonatal mortality rate,3
1733,Mongolia,2000,Neonatal mortality rate,23
1734,Montenegro,2000,Neonatal mortality rate,8
1735,Montserrat,2000,Neonatal mortality rate,6
1736,Morocco,2000,Neonatal mortality rate,28
1737,Mozambique,2000,Neonatal mortality rate,47
1738,Myanmar,2000,Neonatal mortality rate,37
1739,Namibia,2000,Neonatal mortality rate,24
1740,Nauru,2000,Neonatal mortality rate,26
1741,Nepal,2000,Neonatal mortality rate,39
1742,Netherlands,2000,Neonatal mortality rate,4
1743,New Zealand,2000,Neonatal mortality rate,4
1744,Nicaragua,2000,Neonatal mortality rate,17
1745,Niger,2000,Neonatal mortality rate,44
1746,Nigeria,2000,Neonatal mortality rate,46
1747,Niue,2000,Neonatal mortality rate,17
1748,North Macedonia,2000,Neonatal mortality rate,9
1749,Norway,2000,Neonatal mortality rate,3
1750,Oman,2000,Neonatal mortality rate,7
1751,Pakistan,2000,Neonatal mortality rate,57
1752,Palau,2000,Neonatal mortality rate,15
1753,Panama,2000,Neonatal mortality rate,15
1754,Papua New Guinea,2000,Neonatal mortality rate,30
1755,Paraguay,2000,Neonatal mortality rate,18
1756,Peru,2000,Neonatal mortality rate,16
1757,Philippines,2000,Neonatal mortality rate,17
1758,Poland,2000,Neonatal mortality rate,6
1759,Portugal,2000,Neonatal mortality rate,3
1760,Qatar,2000,Neonatal mortality rate,7
1761,Republic of Korea,2000,Neonatal mortality rate,3
1762,Republic of Moldova,2000,Neonatal mortality rate,21
1763,Romania,2000,Neonatal mortality rate,10
1764,Russian Federation,2000,Neonatal mortality rate,9
1765,Rwanda,2000,Neonatal mortality rate,44
1766,Saint Kitts and Nevis,2000,Neonatal mortality rate,17
1767,Saint Lucia,2000,Neonatal mortality rate,12
1768,Saint Vincent and the Grenadines,2000,Neonatal mortality rate,13
1769,Samoa,2000,Neonatal mortality rate,9
1770,San Marino,2000,Neonatal mortality rate,3
1771,Sao Tome and Principe,2000,Neonatal mortality rate,22
1772,Saudi Arabia,2000,Neonatal mortality rate,12
1773,Senegal,2000,Neonatal mortality rate,38
1774,Serbia,2000,Neonatal mortality rate,8
1775,Seychelles,2000,Neonatal mortality rate,9
1776,Sierra Leone,2000,Neonatal mortality rate,48
1777,Singapore,2000,Neonatal mortality rate,2
1778,Slovakia,2000,Neonatal mortality rate,5
1779,Slovenia,2000,Neonatal mortality rate,3
1780,Solomon Islands,2000,Neonatal mortality rate,13
1781,Somalia,2000,Neonatal mortality rate,45
1782,South Africa,2000,Neonatal mortality rate,17
1783,South Sudan,2000,Neonatal mortality rate,56
1784,Spain,2000,Neonatal mortality rate,3
1785,Sri Lanka,2000,Neonatal mortality rate,10
1786,State of Palestine,2000,Neonatal mortality rate,17
1787,Sudan,2000,Neonatal mortality rate,37
1788,Suriname,2000,Neonatal mortality rate,17
1789,Sweden,2000,Neonatal mortality rate,2
1790,Switzerland,2000,Neonatal mortality rate,3
1791,Syrian Arab Republic,2000,Neonatal mortality rate,12
1792,Tajikistan,2000,Neonatal mortality rate,28
1793,Thailand,2000,Neonatal mortality rate,12
1794,Timor-Leste,2000,Neonatal mortality rate,39
1795,Togo,2000,Neonatal mortality rate,37
1796,Tokelau,2000,Neonatal mortality rate,0
1797,Tonga,2000,Neonatal mortality rate,7
1798,Trinidad and Tobago,2000,Neonatal mortality rate,18
1799,Tunisia,2000,Neonatal mortality rate,18
1800,Trkiye,2000,Neonatal mortality rate,19
1801,Turkmenistan,2000,Neonatal mortality rate,30
1802,Turks and Caicos Islands,2000,Neonatal mortality rate,5
1803,Tuvalu,2000,Neonatal mortality rate,24
1804,Uganda,2000,Neonatal mortality rate,33
1805,Ukraine,2000,Neonatal mortality rate,11
1806,United Arab Emirates,2000,Neonatal mortality rate,6
1807,United Kingdom,2000,Neonatal mortality rate,4
1808,United Republic of Tanzania,2000,Neonatal mortality rate,34
1809,United States,2000,Neonatal mortality rate,5
1810,Uruguay,2000,Neonatal mortality rate,8
1811,Uzbekistan,2000,Neonatal mortality rate,28
1812,Vanuatu,2000,Neonatal mortality rate,12
1813,Venezuela (Bolivarian Republic of),2000,Neonatal mortality rate,11
1814,Viet Nam,2000,Neonatal mortality rate,15
1815,Yemen,2000,Neonatal mortality rate,37
1816,Zambia,2000,Neonatal mortality rate,35
1817,Zimbabwe,2000,Neonatal mortality rate,28
